"autor_sobrenome","autor_nome","revista","titulo","ano","resumo","chave","ref_sobrenome","ref_nome","ref_ano","ref_revista","ref_titulo"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","AGRANOFF|GALLARÍN","Robert|Juan Antonio R.","1997","Publius: The Journal of Federalism","Toward federal democracy in Spain: An examination of intergovernmental relations"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","AJA FERNÁNDEZ","Eliseo","1996",,"Los principales periodos de desarrollo del estado autonómico"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","ALEINIKOFF","Alexander T.","1997","The Yale Law Journal","Constitutional Law in the Age of Balancing"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","ARAÚJO|Maués|Fernández","Alberto Luiz|Antonio G. Moreira|Itzíar Gómez","2005","Ordenamiento territorial en Brasil y España","O marco normativo do sistema de organização territorial no Brasil"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization",,,,"Supremo Tribunal Federal","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","ARAUJO|Maués|Fernández","Luiz Alberto D.|Antonio G. Moreira|Itzíar Gómez","2005","Ordenamiento territorial en Brasil y España","O marco normativo do sistema de organização territorial no Brasil"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","CAJAS SARRIÁ","Mário Alberto","2007","Díkaion","Acerca de la interpretación en el control de las reformas constitucionales"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","CARRILO","Ernesto","1997","Publius: The Journal of Federalism","Local Government and Strategies for Decentralization in the ""State of the Autonomies"""
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","CARVALHO","Ernani Rodrigues","2004","Revista de Sociologia e Política","Em busca da judicialização da política no Brasil: apontamentos para uma nova abordagem"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization",,,,"Constitutional Court of Colombia","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","ELKINS|GINSBURG|MELTON","Zachary|Tom Ginsburg|James Melton","2009","The endurance of national constitutions","NA"
